PDF Name,Text from 2nd last <td>,Download Link
"Monday, 27th February, 2023","Monday, 27th February, 2023",https://na.gov.pk/uploads/documents/640afbd9acc07_328.pdf
"Friday, 24th February, 2023","Friday, 24th February, 2023",https://na.gov.pk/uploads/documents/64001e606f273_151.pdf
"Wednesday, 22nd February, 2023","Wednesday, 22nd February, 2023",https://na.gov.pk/uploads/documents/63fca3787186b_520.pdf
"Monday, 20th February, 2023","Monday, 20th February, 2023",https://na.gov.pk/uploads/documents/63fdcc4cb0295_754.pdf
"Friday, 17th February, 2023","Friday, 17th February, 2023",https://na.gov.pk/uploads/documents/63f60888f39ee_345.pdf
"Wednesday, 15th February, 2023","Wednesday, 15th February, 2023",https://na.gov.pk/uploads/documents/63f84f1542170_505.pdf
"Sunday, 25th June, 2023","Sunday, 25th June, 2023",https://na.gov.pk/uploads/documents/64bdfb30edf7c_689.pdf
"Saturday, 24th June, 2023","Saturday, 24th June, 2023",https://na.gov.pk/uploads/documents/64b918d18feb5_905.pdf
"Friday, 23rd June, 2023","Friday, 23rd June, 2023",https://na.gov.pk/uploads/documents/64a4e901ed645_437.pdf
"Thursday, 22nd June, 2023","Thursday, 22nd June, 2023",https://na.gov.pk/uploads/documents/64a7eff7016fb_460.pdf
"Wednesday, 21st June, 2023","Wednesday, 21st June, 2023",https://na.gov.pk/uploads/documents/64a2a28fcb97c_371.pdf
"Tuesday, 20th June, 2023","Tuesday, 20th June, 2023",https://na.gov.pk/uploads/documents/64a2848f6fed1_498.pdf
"Monday, 19th June, 2023","Monday, 19th June, 2023",https://na.gov.pk/uploads/documents/64997e60dfa4e_325.pdf
"Saturday, 17th June, 2023","Saturday, 17th June, 2023",https://na.gov.pk/uploads/documents/64991dc324a7f_760.pdf
"Friday, 16th June, 2023","Friday, 16th June, 2023",https://na.gov.pk/uploads/documents/6496b1c140283_313.pdf
"Thursday, 15th June, 2023","Thursday, 15th June, 2023",https://na.gov.pk/uploads/documents/6495536c1e5ca_976.pdf
"Wednesday, 14th June, 2023","Wednesday, 14th June, 2023",https://na.gov.pk/uploads/documents/6494056b16a4d_942.pdf
"Tuesday, 13th June, 2023","Tuesday, 13th June, 2023",https://na.gov.pk/uploads/documents/648fefbb1d592_440.pdf
"Monday, 12th June, 2023","Monday, 12th June, 2023",https://na.gov.pk/uploads/documents/648beb748165b_769.pdf
"Friday, 9th June, 2023","Friday, 9th June, 2023",https://na.gov.pk/uploads/documents/648afbd171136_781.pdf
"Wednesday, 31st May, 2023","Wednesday, 31st May, 2023",https://na.gov.pk/uploads/documents/64801bff2334f_516.pdf
"Tuesday, 30th May, 2023","Tuesday, 30th May, 2023",https://na.gov.pk/uploads/documents/647f024e75841_631.pdf
"Wednesday, 24th May, 2023","Wednesday, 24th May, 2023",https://na.gov.pk/uploads/documents/647d73780630b_932.pdf
"Tuesday, 23rd May, 2023","Tuesday, 23rd May, 2023",https://na.gov.pk/uploads/documents/647d5a723ebc1_327.pdf
"Monday, 22nd May, 2023","Monday, 22nd May, 2023",https://na.gov.pk/uploads/documents/647875f14922c_207.pdf
