PDF Name,Text from 2nd last <td>,Download Link
"Tuesday, 21st November, 2017","Tuesday, 21st November, 2017",https://na.gov.pk/uploads/documents/1511937789_211.pdf
"Monday, 20th November, 2017","Monday, 20th November, 2017",https://na.gov.pk/uploads/documents/1511861042_301.pdf
"Friday, 17th November, 2017","Friday, 17th November, 2017",https://na.gov.pk/uploads/documents/1511406423_983.pdf
"Thursday, 16th November, 2017","Thursday, 16th November, 2017",https://na.gov.pk/uploads/documents/1511272508_669.pdf
"Thursday, 21st December, 2017","Thursday, 21st December, 2017",https://na.gov.pk/uploads/documents/1514269689_396.pdf
"Wednesday, 20th December, 2017","Wednesday, 20th December, 2017",https://na.gov.pk/uploads/documents/1514351093_554.pdf
"Tuesday, 19th December, 2017","Tuesday, 19th December, 2017",https://na.gov.pk/uploads/documents/1514372734_305.pdf
"Monday, 18th December, 2017","Monday, 18th December, 2017",https://na.gov.pk/uploads/documents/1514450967_917.pdf
"Friday, 15th December, 2017","Friday, 15th December, 2017",https://na.gov.pk/uploads/documents/1513749203_786.pdf
"Thursday, 14th December, 2017","Thursday, 14th December, 2017",https://na.gov.pk/uploads/documents/1513749314_813.pdf
"Wednesday, 13th December, 2017","Wednesday, 13th December, 2017",https://na.gov.pk/uploads/documents/1513323947_552.pdf
"Tuesday, 12th December, 2017","Tuesday, 12th December, 2017",https://na.gov.pk/uploads/documents/1513692363_519.pdf
"Monday, 11th December, 2017","Monday, 11th December, 2017",https://na.gov.pk/uploads/documents/1513575308_640.pdf
"Friday, 8th December, 2017","Friday, 8th December, 2017",https://na.gov.pk/uploads/documents/1513575207_780.pdf
"Thursday, 7th December, 2017","Thursday, 7th December, 2017",https://na.gov.pk/uploads/documents/1513164661_371.pdf
"Thursday, 25th January, 2018","Thursday, 25th January, 2018",https://na.gov.pk/uploads/documents/1517917191_634.pdf
"Wednesday, 24th January, 2018","Wednesday, 24th January, 2018",https://na.gov.pk/uploads/documents/1517988073_668.pdf
"Tuesday, 23rd January, 2018","Tuesday, 23rd January, 2018",https://na.gov.pk/uploads/documents/1517465081_196.pdf
"Monday, 22nd January, 2018","Monday, 22nd January, 2018",https://na.gov.pk/uploads/documents/1517195364_118.pdf
"Friday, 19th January, 2018","Friday, 19th January, 2018",https://na.gov.pk/uploads/documents/1517479770_458.pdf
"Thursday, 18th January, 2018","Thursday, 18th January, 2018",https://na.gov.pk/uploads/documents/1517567433_214.pdf
"Wednesday, 17th January, 2018","Wednesday, 17th January, 2018",https://na.gov.pk/uploads/documents/1517195235_826.pdf
"Tuesday, 16th January, 2018","Tuesday, 16th January, 2018",https://na.gov.pk/uploads/documents/1517195013_393.pdf
"Monday, 15th January, 2018","Monday, 15th January, 2018",https://na.gov.pk/uploads/documents/1517194999_156.pdf
"Friday, 12th January, 2018","Friday, 12th January, 2018",https://na.gov.pk/uploads/documents/1516256551_614.pdf
"Friday, 26th January, 2018","Friday, 26th January, 2018",https://na.gov.pk/uploads/documents/1517454754_613.pdf
"Tuesday, 20th February, 2018","Tuesday, 20th February, 2018",https://na.gov.pk/uploads/documents/1519809471_288.pdf
"Monday, 19th February, 2018","Monday, 19th February, 2018",https://na.gov.pk/uploads/documents/1519399997_772.pdf
"Friday, 16th February, 2018","Friday, 16th February, 2018",https://na.gov.pk/uploads/documents/1519292361_736.pdf
"Thursday, 15th February, 2018","Thursday, 15th February, 2018",https://na.gov.pk/uploads/documents/1519381253_538.pdf
"Wednesday, 14th February, 2018","Wednesday, 14th February, 2018",https://na.gov.pk/uploads/documents/1519193891_595.pdf
"Tuesday, 13th February, 2018","Tuesday, 13th February, 2018",https://na.gov.pk/uploads/documents/1519026081_486.pdf
"Monday, 12th February, 2018","Monday, 12th February, 2018",https://na.gov.pk/uploads/documents/1518692603_248.pdf
"Friday, 2nd March, 2018","Friday, 2nd March, 2018",https://na.gov.pk/uploads/documents/1520331508_958.pdf
"Thursday, 1st March, 2018","Thursday, 1st March, 2018",https://na.gov.pk/uploads/documents/1520317704_730.pdf
"Friday, 16th March, 2018","Friday, 16th March, 2018",https://na.gov.pk/uploads/documents/1522046662_375.pdf
"Thursday, 15th March, 2018","Thursday, 15th March, 2018",https://na.gov.pk/uploads/documents/1528270040_413.pdf
"Wednesday, 14th March, 2018","Wednesday, 14th March, 2018",https://na.gov.pk/uploads/documents/1521713104_279.pdf
"Tuesday, 13th March, 2018","Tuesday, 13th March, 2018",https://na.gov.pk/uploads/documents/1521355161_258.pdf
"Monday, 12th March, 2018","Monday, 12th March, 2018",https://na.gov.pk/uploads/documents/1522058703_290.pdf
"Friday, 9th March, 2018","Friday, 9th March, 2018",https://na.gov.pk/uploads/documents/1521101846_377.pdf
"Friday, 13th April, 2018","Friday, 13th April, 2018",https://na.gov.pk/uploads/documents/1524047639_608.pdf
"Thursday, 12th April, 2018","Thursday, 12th April, 2018",https://na.gov.pk/uploads/documents/1524135050_817.pdf
"Wednesday, 11th April, 2018","Wednesday, 11th April, 2018",https://na.gov.pk/uploads/documents/1524034908_442.pdf
"Tuesday, 10th April, 2018","Tuesday, 10th April, 2018",https://na.gov.pk/uploads/documents/1528270930_655.pdf
"Thursday, 31st May, 2018","Thursday, 31st May, 2018",https://na.gov.pk/uploads/documents/1528695216_756.pdf
"Wednesday, 30th May, 2018","Wednesday, 30th May, 2018",https://na.gov.pk/uploads/documents/1528348587_871.pdf
"Tuesday, 29th May, 2018","Tuesday, 29th May, 2018",https://na.gov.pk/uploads/documents/1528190994_535.pdf
"Monday, 28th May, 2018","Monday, 28th May, 2018",https://na.gov.pk/uploads/documents/1527836394_511.pdf
"Friday, 25th May, 2018","Friday, 25th May, 2018",https://na.gov.pk/uploads/documents/1548076039_270.pdf
"Thursday, 24th May, 2018","Thursday, 24th May, 2018",https://na.gov.pk/uploads/documents/1528179159_227.pdf
"Wednesday, 23rd May, 2018","Wednesday, 23rd May, 2018",https://na.gov.pk/uploads/documents/1527586795_173.pdf
"Tuesday, 22nd May, 2018","Tuesday, 22nd May, 2018",https://na.gov.pk/uploads/documents/1527484276_659.pdf
"Monday, 21st May, 2018","Monday, 21st May, 2018",https://na.gov.pk/uploads/documents/1527060309_594.pdf
"Friday, 18th May, 2018","Friday, 18th May, 2018",https://na.gov.pk/uploads/documents/1527836225_810.pdf
"Thursday, 17th May, 2018","Thursday, 17th May, 2018",https://na.gov.pk/uploads/documents/1527742670_115.pdf
"Wednesday, 16th May, 2018","Wednesday, 16th May, 2018",https://na.gov.pk/uploads/documents/1527663845_211.pdf
"Tuesday, 15th May, 2018","Tuesday, 15th May, 2018",https://na.gov.pk/uploads/documents/1527584025_754.pdf
"Monday, 14th May, 2018","Monday, 14th May, 2018",https://na.gov.pk/uploads/documents/1526551554_223.pdf
"Friday, 11th May, 2018","Friday, 11th May, 2018",https://na.gov.pk/uploads/documents/1527505401_662.pdf
"Thursday, 10th May, 2018","Thursday, 10th May, 2018",https://na.gov.pk/uploads/documents/1562929970_694.pdf
"Wednesday, 9th May, 2018","Wednesday, 9th May, 2018",https://na.gov.pk/uploads/documents/1527055695_656.pdf
"Tuesday, 8th May, 2018","Tuesday, 8th May, 2018",https://na.gov.pk/uploads/documents/1526551522_116.pdf
"Monday, 7th May, 2018","Monday, 7th May, 2018",https://na.gov.pk/uploads/documents/1526290902_876.pdf
"Friday, 4th May, 2018","Friday, 4th May, 2018",https://na.gov.pk/uploads/documents/1525862963_890.pdf
"Thursday, 3rd May, 2018","Thursday, 3rd May, 2018",https://na.gov.pk/uploads/documents/1525775321_708.pdf
"Wednesday, 2nd May, 2018","Wednesday, 2nd May, 2018",https://na.gov.pk/uploads/documents/1525583384_660.pdf
"Friday, 27th April, 2018","Friday, 27th April, 2018",https://na.gov.pk/uploads/documents/1528271072_690.pdf
"Saturday, 14th March, 2009","Saturday, 14th March, 2009",https://na.gov.pk/uploads/documents/1457963630_240.pdf
"Thursday, 12th March, 2009","Thursday, 12th March, 2009",https://na.gov.pk/uploads/documents/1457963590_861.pdf
"Wednesday, 11th March, 2009","Wednesday, 11th March, 2009",https://na.gov.pk/uploads/documents/1457963519_467.pdf
"Monday, 9th March, 2009","Monday, 9th March, 2009",https://na.gov.pk/uploads/documents/1457963483_388.pdf
"Friday, 6th March, 2009","Friday, 6th March, 2009",https://na.gov.pk/uploads/documents/1457963449_555.pdf
"Thursday, 5th March, 2009","Thursday, 5th March, 2009",https://na.gov.pk/uploads/documents/1457963334_268.pdf
"Tuesday, 3rd March, 2009","Tuesday, 3rd March, 2009",https://na.gov.pk/uploads/documents/1457962953_221.pdf
"Saturday, 28th February, 2009","Saturday, 28th February, 2009",https://na.gov.pk/uploads/documents/1457962914_869.pdf
"Friday, 30th January, 2009","Friday, 30th January, 2009",https://na.gov.pk/uploads/documents/1457966338_679.pdf
"Thursday, 29th January, 2009","Thursday, 29th January, 2009",https://na.gov.pk/uploads/documents/1457966278_643.pdf
"Wednesday, 28th January, 2009","Wednesday, 28th January, 2009",https://na.gov.pk/uploads/documents/1457966224_199.pdf
"Tuesday, 27th January, 2009","Tuesday, 27th January, 2009",https://na.gov.pk/uploads/documents/1457966167_128.pdf
"Monday, 26th January, 2009","Monday, 26th January, 2009",https://na.gov.pk/uploads/documents/1457966129_189.pdf
"Friday, 23rd January, 2009","Friday, 23rd January, 2009",https://na.gov.pk/uploads/documents/1457966087_989.pdf
"Thursday, 22nd January, 2009","Thursday, 22nd January, 2009",https://na.gov.pk/uploads/documents/1457966041_782.pdf
"Wednesday, 21st January, 2009","Wednesday, 21st January, 2009",https://na.gov.pk/uploads/documents/1457965991_981.pdf
"Tuesday, 20th January, 2009","Tuesday, 20th January, 2009",https://na.gov.pk/uploads/documents/1457965945_667.pdf
"Monday, 19th January, 2009","Monday, 19th January, 2009",https://na.gov.pk/uploads/documents/1457965908_947.pdf
"Friday, 16th January, 2009","Friday, 16th January, 2009",https://na.gov.pk/uploads/documents/1457965858_359.pdf
"Thursday, 15th January, 2009","Thursday, 15th January, 2009",https://na.gov.pk/uploads/documents/1457965818_175.pdf
"Wednesday, 14th January, 2009","Wednesday, 14th January, 2009",https://na.gov.pk/uploads/documents/1457965784_639.pdf
"Tuesday, 13th January, 2009","Tuesday, 13th January, 2009",https://na.gov.pk/uploads/documents/1457965744_799.pdf
"Monday, 12th January, 2009","Monday, 12th January, 2009",https://na.gov.pk/uploads/documents/1457965692_428.pdf
"Wednesday, 24th December, 2008","Wednesday, 24th December, 2008",https://na.gov.pk/uploads/documents/1457966722_729.pdf
"Tuesday, 23rd December, 2008","Tuesday, 23rd December, 2008",https://na.gov.pk/uploads/documents/1457966633_792.pdf
"Monday, 22nd December, 2008","Monday, 22nd December, 2008",https://na.gov.pk/uploads/documents/1457966602_556.pdf
"Friday, 19th December, 2008","Friday, 19th December, 2008",https://na.gov.pk/uploads/documents/1457966564_513.pdf
"Thursday, 18th December, 2008","Thursday, 18th December, 2008",https://na.gov.pk/uploads/documents/1457966531_600.pdf
"Wednesday, 17th December, 2008","Wednesday, 17th December, 2008",https://na.gov.pk/uploads/documents/1457966486_604.pdf
"Tuesday, 16th December, 2008","Tuesday, 16th December, 2008",https://na.gov.pk/uploads/documents/1457966451_720.pdf
"Monday, 15th December, 2008","Monday, 15th December, 2008",https://na.gov.pk/uploads/documents/1457966412_637.pdf
"Friday, 21st November, 2008","Friday, 21st November, 2008",https://na.gov.pk/uploads/documents/1458117069_741.pdf
"Thursday, 20th November, 2008","Thursday, 20th November, 2008",https://na.gov.pk/uploads/documents/1458117283_363.pdf
"Wednesday, 19th November, 2008","Wednesday, 19th November, 2008",https://na.gov.pk/uploads/documents/1458117480_465.pdf
"Tuesday, 18th November, 2008","Tuesday, 18th November, 2008",https://na.gov.pk/uploads/documents/1458117776_618.pdf
"Monday, 17th November, 2008","Monday, 17th November, 2008",https://na.gov.pk/uploads/documents/1458117714_175.pdf
"Friday, 14th November, 2008","Friday, 14th November, 2008",https://na.gov.pk/uploads/documents/1458117586_793.pdf
"Thursday, 13th November, 2008","Thursday, 13th November, 2008",https://na.gov.pk/uploads/documents/1458118303_839.pdf
"Wednesday, 12th November, 2008","Wednesday, 12th November, 2008",https://na.gov.pk/uploads/documents/1458117946_744.pdf
"Tuesday, 11th November, 2008","Tuesday, 11th November, 2008",https://na.gov.pk/uploads/documents/1458118021_856.pdf
"Monday, 10th November, 2008","Monday, 10th November, 2008",https://na.gov.pk/uploads/documents/1458116948_989.pdf
"Saturday, 20th September, 2008","Saturday, 20th September, 2008",https://na.gov.pk/uploads/documents/1463049013_347.pdf
"Friday, 5th September, 2008","Friday, 5th September, 2008",https://na.gov.pk/uploads/documents/1458116872_211.pdf
"Thursday, 4th September, 2008","Thursday, 4th September, 2008",https://na.gov.pk/uploads/documents/1458116786_246.pdf
"Wednesday, 27th August, 2008","Wednesday, 27th August, 2008",https://na.gov.pk/uploads/documents/1458115218_968.pdf
"Tuesday, 26th August, 2008","Tuesday, 26th August, 2008",https://na.gov.pk/uploads/documents/1458115080_469.pdf
"Monday, 25th August, 2008","Monday, 25th August, 2008",https://na.gov.pk/uploads/documents/1458115002_938.pdf
"Friday, 22nd August, 2008","Friday, 22nd August, 2008",https://na.gov.pk/uploads/documents/1458114881_995.pdf
"Thursday, 21st August, 2008","Thursday, 21st August, 2008",https://na.gov.pk/uploads/documents/1458114650_249.pdf
"Wednesday, 20th August, 2008","Wednesday, 20th August, 2008",https://na.gov.pk/uploads/documents/1458114499_505.pdf
"Tuesday, 19th August, 2008","Tuesday, 19th August, 2008",https://na.gov.pk/uploads/documents/1458113793_914.pdf
"Monday, 18th August, 2008","Monday, 18th August, 2008",https://na.gov.pk/uploads/documents/1458113148_685.pdf
"Friday, 15th August, 2008","Friday, 15th August, 2008",https://na.gov.pk/uploads/documents/1458110166_226.pdf
"Wednesday, 13th August, 2008","Wednesday, 13th August, 2008",https://na.gov.pk/uploads/documents/1458109973_939.pdf
"Tuesday, 12th August, 2008","Tuesday, 12th August, 2008",https://na.gov.pk/uploads/documents/1458106839_465.pdf
"Monday, 11th August, 2008","Monday, 11th August, 2008",https://na.gov.pk/uploads/documents/1458106416_263.pdf
"Tuesday, 24th June, 2008","Tuesday, 24th June, 2008",https://na.gov.pk/uploads/documents/1458100975_253.pdf
"Monday, 23rd June, 2008","Monday, 23rd June, 2008",https://na.gov.pk/uploads/documents/1458100946_165.pdf
"Sunday, 22nd June, 2008","Sunday, 22nd June, 2008",https://na.gov.pk/uploads/documents/1458100910_217.pdf
"Saturday, 21st June, 2008","Saturday, 21st June, 2008",https://na.gov.pk/uploads/documents/1458100868_287.pdf
"Friday, 20th June, 2008","Friday, 20th June, 2008",https://na.gov.pk/uploads/documents/1458100837_332.pdf
"Thursday, 19th June, 2008","Thursday, 19th June, 2008",https://na.gov.pk/uploads/documents/1458100787_231.pdf
"Wednesday, 18th June, 2008","Wednesday, 18th June, 2008","https://na.gov.pk/uploads/documents/Vol-V(5th%20Session)%2018th%20June,%202008.pdf"
"Tuesday, 17th June, 2008","Tuesday, 17th June, 2008",https://na.gov.pk/uploads/documents/1458100428_167.pdf
"Monday, 16th June, 2008","Monday, 16th June, 2008",https://na.gov.pk/uploads/documents/1458100399_536.pdf
"Sunday, 15th June, 2008","Sunday, 15th June, 2008",https://na.gov.pk/uploads/documents/1458100369_984.pdf
"Saturday, 14th June, 2008","Saturday, 14th June, 2008",https://na.gov.pk/uploads/documents/1458100335_434.pdf
"Wednesday, 11th June, 2008","Wednesday, 11th June, 2008",https://na.gov.pk/uploads/documents/1458100300_420.pdf
"Tuesday, 10th June, 2008","Tuesday, 10th June, 2008",https://na.gov.pk/uploads/documents/1458100268_810.pdf
"Monday, 9th June, 2008","Monday, 9th June, 2008",https://na.gov.pk/uploads/documents/1458100230_938.pdf
"Friday, 6th June, 2008","Friday, 6th June, 2008",https://na.gov.pk/uploads/documents/1458100180_941.pdf
"Thursday, 5th June, 2008","Thursday, 5th June, 2008",https://na.gov.pk/uploads/documents/1458100133_588.pdf
"Wednesday, 4th June, 2008","Wednesday, 4th June, 2008",https://na.gov.pk/uploads/documents/1458100028_593.pdf
"Tuesday, 3rd June, 2008","Tuesday, 3rd June, 2008",https://na.gov.pk/uploads/documents/1458099993_646.pdf
"Monday, 2nd June, 2008","Monday, 2nd June, 2008",https://na.gov.pk/uploads/documents/1458099961_525.pdf
"Friday, 25th April, 2008","Friday, 25th April, 2008",https://na.gov.pk/uploads/documents/1458099799_567.pdf
"Thursday, 24th April, 2008","Thursday, 24th April, 2008",https://na.gov.pk/uploads/documents/1458099762_188.pdf
"Wednesday, 23rd April, 2008","Wednesday, 23rd April, 2008",https://na.gov.pk/uploads/documents/1458099698_816.pdf
"Tuesday, 22nd April, 2008","Tuesday, 22nd April, 2008",https://na.gov.pk/uploads/documents/1458099595_111.pdf
"Monday, 21st April, 2008","Monday, 21st April, 2008",https://na.gov.pk/uploads/documents/1458099546_553.pdf
"Friday, 18th April, 2008","Friday, 18th April, 2008",https://na.gov.pk/uploads/documents/1458099504_466.pdf
"Thursday, 17th April, 2008","Thursday, 17th April, 2008",https://na.gov.pk/uploads/documents/1458099469_958.pdf
"Tuesday, 15th April, 2008","Tuesday, 15th April, 2008",https://na.gov.pk/uploads/documents/1458099428_498.pdf
"Monday, 14th April, 2008","Monday, 14th April, 2008",https://na.gov.pk/uploads/documents/1458035380_852.pdf
"Friday, 11th April, 2008","Friday, 11th April, 2008",https://na.gov.pk/uploads/documents/1458035124_589.pdf
"Thursday, 10th April, 2008","Thursday, 10th April, 2008",https://na.gov.pk/uploads/documents/1458035005_343.pdf
"Wednesday, 19th March, 2008","Wednesday, 19th March, 2008","https://na.gov.pk/uploads/documents/Vol-I(1st%20Session)%2019th%20March,%202008.pdf"
"Monday, 17th March, 2008","Monday, 17th March, 2008",https://na.gov.pk/uploads/documents/1457967864_166.pdf
"Monday, 24th March, 2008","Monday, 24th March, 2008",https://na.gov.pk/uploads/documents/1457967808_776.pdf
"Saturday, 29th March, 2008","Saturday, 29th March, 2008",https://na.gov.pk/uploads/documents/1458200685_251.pdf
"Friday, 2nd April, 2010","Friday, 2nd April, 2010",https://na.gov.pk/uploads/documents/1457954969_281.pdf
"Thursday, 1st April, 2010","Thursday, 1st April, 2010",https://na.gov.pk/uploads/documents/1457954928_783.pdf
"Wednesday, 31st March, 2010","Wednesday, 31st March, 2010",https://na.gov.pk/uploads/documents/1457955632_724.pdf
"Tuesday, 30th March, 2010","Tuesday, 30th March, 2010",https://na.gov.pk/uploads/documents/1457955580_334.pdf
"Monday, 29th March, 2010","Monday, 29th March, 2010",https://na.gov.pk/uploads/documents/1457955543_468.pdf
"Friday, 26th March, 2010","Friday, 26th March, 2010",https://na.gov.pk/uploads/documents/1457955450_140.pdf
"Thursday, 25th March, 2010","Thursday, 25th March, 2010",https://na.gov.pk/uploads/documents/1457955405_437.pdf
"Wednesday, 24th March, 2010","Wednesday, 24th March, 2010",https://na.gov.pk/uploads/documents/1457955361_397.pdf
"Friday, 19th March, 2010","Friday, 19th March, 2010",https://na.gov.pk/uploads/documents/1457955315_158.pdf
"Thursday, 18th March, 2010","Thursday, 18th March, 2010",https://na.gov.pk/uploads/documents/1457955277_916.pdf
"Wednesday, 17th March, 2010","Wednesday, 17th March, 2010",https://na.gov.pk/uploads/documents/1457955169_543.pdf
"Tuesday, 16th March, 2010","Tuesday, 16th March, 2010",https://na.gov.pk/uploads/documents/1457955108_649.pdf
"Monday, 15th March, 2010","Monday, 15th March, 2010",https://na.gov.pk/uploads/documents/1457955071_568.pdf
"Friday, 12th March, 2010","Friday, 12th March, 2010",https://na.gov.pk/uploads/documents/1457955036_399.pdf
"Thursday, 11th March, 2010","Thursday, 11th March, 2010",https://na.gov.pk/uploads/documents/1457954872_459.pdf
"Friday, 26th February, 2010","Friday, 26th February, 2010",https://na.gov.pk/uploads/documents/1457956421_462.pdf
"Thursday, 25th February, 2010","Thursday, 25th February, 2010",https://na.gov.pk/uploads/documents/1457956365_999.pdf
"Wednesday, 24th February, 2010","Wednesday, 24th February, 2010",https://na.gov.pk/uploads/documents/1457956327_507.pdf
"Tuesday, 23rd February, 2010","Tuesday, 23rd February, 2010",https://na.gov.pk/uploads/documents/1457956291_245.pdf
"Monday, 22nd February, 2010","Monday, 22nd February, 2010",https://na.gov.pk/uploads/documents/1457956252_789.pdf
"Friday, 19th February, 2010","Friday, 19th February, 2010",https://na.gov.pk/uploads/documents/1457956207_501.pdf
"Thursday, 18th February, 2010","Thursday, 18th February, 2010",https://na.gov.pk/uploads/documents/1457956111_379.pdf
"Wednesday, 17th February, 2010","Wednesday, 17th February, 2010",https://na.gov.pk/uploads/documents/1457956062_140.pdf
"Tuesday, 16th February, 2010","Tuesday, 16th February, 2010",https://na.gov.pk/uploads/documents/1457956013_607.pdf
"Monday, 15th February, 2010","Monday, 15th February, 2010",https://na.gov.pk/uploads/documents/1457955927_432.pdf
"Friday, 12th February, 2010","Friday, 12th February, 2010",https://na.gov.pk/uploads/documents/1457955889_615.pdf
"Thursday, 11th February, 2010","Thursday, 11th February, 2010",https://na.gov.pk/uploads/documents/1457955849_933.pdf
"Wednesday, 10th February, 2010","Wednesday, 10th February, 2010",https://na.gov.pk/uploads/documents/1457955810_427.pdf
"Tuesday, 9th February, 2010","Tuesday, 9th February, 2010",https://na.gov.pk/uploads/documents/1457955773_833.pdf
"Monday, 8th February, 2010","Monday, 8th February, 2010",https://na.gov.pk/uploads/documents/1457955713_869.pdf
"Friday, 29th January, 2010","Friday, 29th January, 2010",https://na.gov.pk/uploads/documents/1457958381_911.pdf
"Thursday, 28th January, 2010","Thursday, 28th January, 2010",https://na.gov.pk/uploads/documents/1457958337_812.pdf
"Wednesday, 27th January, 2010","Wednesday, 27th January, 2010",https://na.gov.pk/uploads/documents/1457958202_696.pdf
"Tuesday, 26th January, 2010","Tuesday, 26th January, 2010",https://na.gov.pk/uploads/documents/1457958135_744.pdf
"Monday, 25th January, 2010","Monday, 25th January, 2010",https://na.gov.pk/uploads/documents/1457958088_792.pdf
"Friday, 22nd January, 2010","Friday, 22nd January, 2010",https://na.gov.pk/uploads/documents/1457958050_155.pdf
"Thursday, 21st January, 2010","Thursday, 21st January, 2010",https://na.gov.pk/uploads/documents/1457957963_518.pdf
"Wednesday, 20th January, 2010","Wednesday, 20th January, 2010",https://na.gov.pk/uploads/documents/1457957878_817.pdf
"Tuesday, 19th January, 2010","Tuesday, 19th January, 2010",https://na.gov.pk/uploads/documents/1457957920_664.pdf
"Monday, 18th January, 2010","Monday, 18th January, 2010",https://na.gov.pk/uploads/documents/1457957831_234.pdf
"Friday, 15th January, 2010","Friday, 15th January, 2010",https://na.gov.pk/uploads/documents/1457957788_126.pdf
"Thursday, 14th January, 2010","Thursday, 14th January, 2010",https://na.gov.pk/uploads/documents/1457957719_314.pdf
"Wednesday, 13th January, 2010","Wednesday, 13th January, 2010",https://na.gov.pk/uploads/documents/1457957496_538.pdf
"Tuesday, 12th January, 2010","Tuesday, 12th January, 2010",https://na.gov.pk/uploads/documents/1457957374_575.pdf
"Monday, 11th January, 2010","Monday, 11th January, 2010",https://na.gov.pk/uploads/documents/1457957326_240.pdf
"Tuesday, 24th November, 2009","Tuesday, 24th November, 2009",https://na.gov.pk/uploads/documents/1463381567_152.pdf
"Monday, 16th November, 2009","Monday, 16th November, 2009",https://na.gov.pk/uploads/documents/1457959040_273.pdf
"Friday, 13th November, 2009","Friday, 13th November, 2009",https://na.gov.pk/uploads/documents/1457958994_153.pdf
"Thursday, 12th November, 2009","Thursday, 12th November, 2009",https://na.gov.pk/uploads/documents/1457958948_584.pdf
"Wednesday, 11th November, 2009","Wednesday, 11th November, 2009",https://na.gov.pk/uploads/documents/1457958858_895.pdf
"Tuesday, 10th November, 2009","Tuesday, 10th November, 2009",https://na.gov.pk/uploads/documents/1457958800_301.pdf
"Saturday, 7th November, 2009","Saturday, 7th November, 2009",https://na.gov.pk/uploads/documents/1457958760_615.pdf
"Friday, 6th November, 2009","Friday, 6th November, 2009",https://na.gov.pk/uploads/documents/1457958711_840.pdf
"Thursday, 5th November, 2009","Thursday, 5th November, 2009",https://na.gov.pk/uploads/documents/1457958654_654.pdf
"Wednesday, 4th November, 2009","Wednesday, 4th November, 2009",https://na.gov.pk/uploads/documents/1457958600_717.pdf
"Tuesday, 3rd November, 2009","Tuesday, 3rd November, 2009",https://na.gov.pk/uploads/documents/1457958565_763.pdf
"Monday, 2nd November, 2009","Monday, 2nd November, 2009",https://na.gov.pk/uploads/documents/1457958527_248.pdf
"Tuesday, 26th May, 2009","Tuesday, 26th May, 2009",https://na.gov.pk/uploads/documents/1463381357_659.pdf
"Friday, 16th October, 2009","Friday, 16th October, 2009",https://na.gov.pk/uploads/documents/1457960151_558.pdf
"Thursday, 15th October, 2009","Thursday, 15th October, 2009",https://na.gov.pk/uploads/documents/1457960110_940.pdf
"Wednesday, 14th October, 2009","Wednesday, 14th October, 2009",https://na.gov.pk/uploads/documents/1457959935_710.pdf
"Tuesday, 13th October, 2009","Tuesday, 13th October, 2009",https://na.gov.pk/uploads/documents/1457959889_975.pdf
"Monday, 12th October, 2009","Monday, 12th October, 2009",https://na.gov.pk/uploads/documents/1457959666_675.pdf
"Friday, 9th October, 2009","Friday, 9th October, 2009",https://na.gov.pk/uploads/documents/1457959627_609.pdf
"Thursday, 8th October, 2009","Thursday, 8th October, 2009",https://na.gov.pk/uploads/documents/1457959388_797.pdf
"Wednesday, 7th October, 2009","Wednesday, 7th October, 2009",https://na.gov.pk/uploads/documents/1457959346_184.pdf
"Tuesday, 6th October, 2009","Tuesday, 6th October, 2009",https://na.gov.pk/uploads/documents/1457959193_516.pdf
"Monday, 5th October, 2009","Monday, 5th October, 2009",https://na.gov.pk/uploads/documents/1457959153_536.pdf
"Friday, 21st August, 2009","Friday, 21st August, 2009",https://na.gov.pk/uploads/documents/1457961206_765.pdf
"Thursday, 20th August, 2009","Thursday, 20th August, 2009",https://na.gov.pk/uploads/documents/1457961238_660.pdf
"Wednesday, 19th August, 2009","Wednesday, 19th August, 2009",https://na.gov.pk/uploads/documents/1457961124_989.pdf
"Tuesday, 18th August, 2009","Tuesday, 18th August, 2009",https://na.gov.pk/uploads/documents/1457961080_936.pdf
"Saturday, 15th August, 2009","Saturday, 15th August, 2009",https://na.gov.pk/uploads/documents/1457961049_701.pdf
"Thursday, 13th August, 2009","Thursday, 13th August, 2009",https://na.gov.pk/uploads/documents/1457960686_356.pdf
"Wednesday, 12th August, 2009","Wednesday, 12th August, 2009",https://na.gov.pk/uploads/documents/1457960584_225.pdf
"Tuesday, 11th August, 2009","Tuesday, 11th August, 2009",https://na.gov.pk/uploads/documents/1457960543_972.pdf
"Monday, 10th August, 2009","Monday, 10th August, 2009",https://na.gov.pk/uploads/documents/1457960504_498.pdf
"Friday, 7th August, 2009","Friday, 7th August, 2009",https://na.gov.pk/uploads/documents/1457960457_587.pdf
"Thursday, 6th August, 2009","Thursday, 6th August, 2009",https://na.gov.pk/uploads/documents/1457960403_986.pdf
"Wednesday, 5th August, 2009","Wednesday, 5th August, 2009",https://na.gov.pk/uploads/documents/1457960362_370.pdf
"Tuesday, 4th August, 2009","Tuesday, 4th August, 2009",https://na.gov.pk/uploads/documents/1457960320_152.pdf
"Monday, 3rd August, 2009","Monday, 3rd August, 2009",https://na.gov.pk/uploads/documents/1457960283_292.pdf
"Tuesday, 30th June, 2009","Tuesday, 30th June, 2009",https://na.gov.pk/uploads/documents/1457962039_188.pdf
"Monday, 29th June, 2009","Monday, 29th June, 2009",https://na.gov.pk/uploads/documents/1457961989_671.pdf
"Friday, 26th June, 2009","Friday, 26th June, 2009",https://na.gov.pk/uploads/documents/1457961902_268.pdf
